product,district,sold_qty
Cavin’s Milkshake – Chocolate,Namakkal,26662
Cavin’s Milkshake – Chocolate,Coimbatore,26496
Cavin’s Milkshake – Chocolate,Tiruchirappalli,26450
Cavin’s Milkshake – Chocolate,Thoothukudi,26418
Cavin’s Milkshake – Chocolate,Karur,26381
Cavin’s Milkshake – Chocolate,Kanchipuram,26367
Cavin’s Milkshake – Chocolate,Vellore,26320
Cavin’s Milkshake – Chocolate,Chennai,26222
Cavin’s Milkshake – Chocolate,Madurai,26107
Cavin’s Milkshake – Chocolate,Thanjavur,26097
Cavin’s Milkshake – Chocolate,Nagapattinam,26081
Cavin’s Milkshake – Chocolate,Tirunelveli,25748
Cavin’s Ghee,Dindigul,25700
Cavin’s Ghee,Coimbatore,25693
Cavin’s Paneer Cubes,Coimbatore,25599
Cavin’s Paneer Cubes,Karur,25594
Cavin’s Paneer Cubes,Namakkal,25557
Cavin’s Paneer,Vellore,25504
Cavin’s Paneer Cubes,Chennai,25461
Cavin’s Ghee,Karur,25453
Cavin’s Ghee,Tiruchirappalli,25450
Cavin’s Ghee,Nagapattinam,25443
Cavin’s Ghee,Tirunelveli,25428
Cavin’s Ghee,Namakkal,25384
Cavin’s Paneer Cubes,Kanchipuram,25363
Cavin’s Paneer,Karur,25321
Cavin’s Paneer Cubes,Thanjavur,25268
Cavin’s Paneer,Dindigul,25268
Cavin’s Paneer Cubes,Vellore,25244
Cavin’s Paneer,Tiruchirappalli,25234
Cavin’s Paneer Cubes,Madurai,25232
Cavin’s Ghee,Kanchipuram,25225
Cavin’s Paneer Cubes,Nagapattinam,25193
Cavin’s Paneer,Erode,25182
Cavin’s Paneer Cubes,Erode,25171
Cavin’s Ghee,Thanjavur,25162
Cavin’s Paneer Cubes,Tirunelveli,25156
Cavin’s Paneer Cubes,Thoothukudi,25132
Cavin’s Paneer,Chennai,25107
Cavin’s Paneer,Madurai,25105
Cavin’s Paneer,Kanchipuram,25091
Cavin’s Paneer,Namakkal,25068
Cavin’s Ghee,Chennai,25068
Cavin’s Ghee,Thoothukudi,25032
Cavin’s Paneer,Salem,25025
Cavin’s Paneer,Tirunelveli,25024
Cavin’s Paneer Cubes,Salem,25006
Cavin’s Ghee,Salem,25002
Cavin’s Paneer Cubes,Tiruchirappalli,24995
Cavin’s Ghee,Erode,24979
Cavin’s Paneer,Nagapattinam,24953
Cavin’s Ghee,Vellore,24950
Cavin’s Paneer Cubes,Dindigul,24941
Cavin’s Paneer,Thoothukudi,24932
Cavin’s Paneer,Coimbatore,24818
Cavin’s Ghee,Madurai,24786
Cavin’s Paneer,Thanjavur,24757
Cavin’s Milk – Toned,Nagapattinam,21748
Cavin’s Milk – Full Cream,Dindigul,21668
Cavin’s Milk – Full Cream,Vellore,21585
Cavin’s Milk – Full Cream,Tirunelveli,21573
Cavin’s Milk – Full Cream,Erode,21547
Cavin’s Milk – Full Cream,Kanchipuram,21517
Cavin’s Milk – Toned,Karur,21507
Cavin’s Milk – Full Cream,Karur,21464
Cavin’s Milk – Full Cream,Coimbatore,21459
Cavin’s Milk – Toned,Madurai,21428
Cavin’s Milk – Toned,Tiruchirappalli,21424
Cavin’s Milk – Toned,Erode,21358
Cavin’s Milk – Toned,Vellore,21297
Cavin’s Milk – Toned,Dindigul,21253
Cavin’s Milk – Full Cream,Madurai,21238
Cavin’s Milk – Full Cream,Thanjavur,21216
Cavin’s Milk – Full Cream,Nagapattinam,21174
Cavin’s Milk – Toned,Salem,21164
Cavin’s Milk – Toned,Tirunelveli,21153
Cavin’s Milk – Toned,Coimbatore,21145
Cavin’s Milk – Toned,Chennai,21138
Cavin’s Milk – Toned,Thanjavur,21129
Cavin’s Milk – Full Cream,Tiruchirappalli,21114
Cavin’s Milk – Full Cream,Thoothukudi,21101
Cavin’s Milk – Full Cream,Salem,21094
Cavin’s Milk – Full Cream,Chennai,21090
Cavin’s Milk – Full Cream,Namakkal,21035
Cavin’s Milk – Toned,Kanchipuram,21016
Cavin’s Milk – Toned,Namakkal,21006
Cavin’s Milk – Toned,Thoothukudi,20895
